variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
anti-foaming agent ins 900a,synthetic,NULL,NULL,antifoaming agent,NULL,NULL,NULL,0,0,0.9,0,0,0.9,0.36,0.36,2,False,False
green coffee extract powder,coffee,solvent extraction,extract/oleoresin|powder,flavouring agent,NULL,NULL,taste profile / spice,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False
stalkless kashmiri chillies,chilli,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
mineral chromium picolinate,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
cranberry juice concentrate,cranberry,concentration,concentrate|juice,flavouring agent,NULL,NULL,sweetener|acidity regulator,0.48,0.5,0.675,0.48,0.5,0.86,0.564,0.638,2,False,False
emulsifier vegetable origin,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,NULL,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
enzyme preparation ins 1100,barley,NULL,powder,NULL,NULL,NULL,NULL,0,0.42,0,0,0.42,0,0.126,0.126,1,False,False
stabilizer guar gum ins 412,guar,NULL,powder,stabiliser|thickener,NULL,NULL,gelling agent,0,0.42,0.65,0,0.42,0.675,0.386,0.396,2,False,False
roasted spice powder nutmeg,nutmeg,roasting,powder,taste profile / spice,drying,NULL,flavouring agent,0.58,0.42,0.18,0.58,0.42,0.675,0.372,0.57,2,False,False
pineapple juice concentrate,pineapple,concentration,juice|concentrate,flavouring agent,NULL,NULL,sweetener,0.48,0.5,0.675,0.48,0.5,0.675,0.564,0.564,2,False,False
pineapple fruit preparation,pineapple,NULL,pulp/puree,base ingredient,NULL,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0.25,0.12,0,0.25,0.675,0.123,0.345,1,True,False
bacillus coagulans snz 1969,bacillus coagulans,fermentation,powder,NULL,NULL,NULL,probiotic,0.56,0.42,0,0.56,0.42,0,0.294,0.294,1,False,False
rosemary extract flavouring,rosemary,solvent extraction,extract/oleoresin,flavouring agent,NULL,essential oil,taste profile / spice,0.82,0.86,0.675,0.82,0.9,0.675,0.774,0.786,3,False,False
acidity regulator ins 350 1,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
sucrose acetate isobutyrate,synthetic,acetylation,NULL,emulsifier,NULL,NULL,stabiliser,0.94,0,0.825,0.94,0,0.825,0.612,0.612,2,False,False
enzyme preparation ins 1102,aspergillus niger,NULL,powder,NULL,fermentation,NULL,?enzyme,0,0.42,0,0.56,0.42,0,0.126,0.294,1,False,True
enzyme preparation ins 1104,aspergillus niger,NULL,powder,NULL,fermentation,NULL,?enzyme,0,0.42,0,0.56,0.42,0,0.126,0.294,1,False,True
sugar substitute erythritol,corn,NULL,crystalline chemical,sweetener|bulking agent,fermentation,NULL,NULL,0,0.98,0.625,0.56,0.98,0.625,0.544,0.712,2,True,False
evening primrose oil powder,evening primrose,solvent extraction,oil|powder,lipid base,NULL,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
tangerine juice concentrate,tangerine,concentration,juice|concentrate,flavouring agent,NULL,NULL,sweetener,0.48,0.5,0.675,0.48,0.5,0.675,0.564,0.564,2,False,False
magnesium hydrogen phosphate,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
fortified wheat flour niacin,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
concentrated sugarcane juice,sugarcane,concentration,juice|concentrate,sweetener,NULL,NULL,base ingredient,0.48,0.5,0.625,0.48,0.5,0.625,0.544,0.544,2,False,False
anticaking agent ins 341 iii,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
ammonium bicarbonate ins 503,synthetic,NULL,crystalline chemical,raising agent,NULL,NULL,acidity regulator,0,0.98,0.475,0,0.98,0.86,0.484,0.638,2,False,False
potassium hydrogen carbonate,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,raising agent,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 500 ii,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidifying agent acetic acid,synthetic | sugarcane,fermentation,crystalline chemical,acidity regulator,NULL,NULL,preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
lacto - bacillus acidophilus,milk,fermentation,NULL,NULL,NULL,powder,probiotic,0.56,0,0,0.56,0.42,0,0.168,0.294,1,False,False
roasted spice powder aniseed,aniseed,roasting,powder,taste profile / spice,drying,NULL,flavouring agent,0.58,0.42,0.18,0.58,0.42,0.675,0.372,0.57,2,False,False
krishna tulsi ocimum sanctum,tulsi,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False
edible vegetable oil coconut,coconut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
hydrolyzed vegetable protein,soybean | groundnut | corn,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,flavouring agent,0.6,0.74,0.12,0.6,0.74,0.675,0.45,0.672,2,False,True
hydrolysed vegetable protein,soybean | groundnut | corn,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,flavouring agent,0.6,0.74,0.12,0.6,0.74,0.675,0.45,0.672,2,False,True
hydrolyzed groundnut protein,groundnut,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,NULL,0.6,0.74,0.12,0.6,0.74,0.12,0.45,0.45,2,False,True
hydralyzed vegetable protein,soybean | groundnut | corn,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,flavouring agent,0.6,0.74,0.12,0.6,0.74,0.675,0.45,0.672,2,False,True
hydrolized vegetable protein,soybean | groundnut | corn,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,flavouring agent,0.6,0.74,0.12,0.6,0.74,0.675,0.45,0.672,2,False,True
hydrolysed groundnut protein,groundnut,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,NULL,0.6,0.74,0.12,0.6,0.74,0.12,0.45,0.45,2,False,True
neem azadirachta indica leaf,neem azadirachta indica,NULL,whole/fresh pieces,NULL,NULL,cut/sliced pieces|powder,NULL,0,0.05,0,0,0.42,0,0.015,0.126,1,False,False
probiotic bacillus coagulans,bacillus coagulans,fermentation,powder,base ingredient,NULL,NULL,?prebiotic,0.56,0.42,0.12,0.56,0.42,0.12,0.342,0.342,2,False,True
preservative sodium benzoate,synthetic,NULL,crystalline chemical,preservative,NULL,NULL,NULL,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False
acidity regulator ins 331 ii,synthetic | corn,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
grapefruit juice concentrate,grapefruit,concentration,juice|concentrate,flavouring agent,NULL,NULL,acidity regulator,0.48,0.5,0.675,0.48,0.5,0.86,0.564,0.638,2,False,False
edible vegetable oil palm oil,palm,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
interesterified vegetable fat,palm | soybean | groundnut,interesterification,fat fraction,lipid base,cold pressing|refining|solvent extraction|hydrogenation,oil,NULL,0.91,0.72,0.22,0.92,0.72,0.22,0.577,0.58,2,False,False
edible vegetable fats sal fat,sal,NULL,fat fraction,lipid base,cold pressing|solvent extraction,oil,NULL,0,0.72,0.22,0.82,0.72,0.22,0.304,0.55,2,False,False
edible vegetable oil corn oil,corn,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
fortified wheat flour thiamin,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
afgani seedless black raisins,grape,drying,whole/fresh pieces,sweetener,NULL,NULL,base ingredient,0.42,0.05,0.625,0.42,0.05,0.625,0.391,0.391,2,False,False
texturised soy protein flakes,soybean,?extrusion,protein concentrate|flakes,base ingredient,NULL,NULL,NULL,0.6,0.74,0.12,0.6,0.74,0.12,0.45,0.45,2,False,True
glucono delta lactone ins 575,synthetic | corn,NULL,crystalline chemical,acidity regulator,fermentation,NULL,sequestrant,0,0.98,0.86,0.56,0.98,0.91,0.638,0.826,2,True,False
acidity regulator citric acid,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
emulsifier stabilizer ins 415,synthetic,NULL,emulsifier powder,emulsifier|stabiliser,NULL,NULL,thickener|gelling agent,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
citrus fruit from concentrate,citrus,NULL,concentrate,flavouring agent,NULL,juice,NULL,0,0.4,0.675,0,0.5,0.675,0.39,0.42,2,False,False
roasted spice powder turmeric,turmeric,roasting,powder,taste profile / spice,drying,NULL,flavouring agent,0.58,0.42,0.18,0.58,0.42,0.675,0.372,0.57,2,False,False
vana tulsi ocimum gratissimum,tulsi,NULL,NULL,flavouring agent,NULL,whole/fresh pieces|cut/sliced pieces,taste profile / spice,0,0,0.675,0,0.1,0.675,0.27,0.3,1,True,False
tulsi ocimum tenuiflorum leaf,tulsi,NULL,whole/fresh pieces,flavouring agent,NULL,cut/sliced pieces,taste profile / spice,0,0.05,0.675,0,0.1,0.675,0.285,0.3,1,True,False
reconstituted buttermilk milk,milk,NULL,NULL,base ingredient,pasteurization,dense block,NULL,0,0,0.12,0.48,0.38,0.12,0.048,0.306,1,True,False
spice oleoresin cuminaldehyde,cumin,NULL,oleoresin,taste profile / spice,solvent extraction,extract/oleoresin,flavouring agent,0,0.88,0.18,0.82,0.88,0.675,0.336,0.78,2,True,False
polyvinylpyrrolidone ins 1202,synthetic,NULL,crystalline chemical,stabiliser,NULL,NULL,thickener|gelling agent,0,0.98,0.65,0,0.98,0.675,0.554,0.564,2,False,False
encapsulated ferrous sulphate,mineral,?encapsulation,granules,antioxidant,NULL,powder,NULL,0,0.8,0.875,0,0.8,0.875,0.59,0.59,2,False,True
flour treatment agent ins 516,mineral,NULL,crystalline chemical,flour treatment agent,NULL,NULL,NULL,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False
flour treatment agent ins 510,mineral,NULL,crystalline chemical,flour treatment agent,NULL,NULL,NULL,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False
flour treatment agent ins 223,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,preservative,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False
emulsifier sunflower lecithin,sunflower,solvent extraction,emulsifier powder,emulsifier,NULL,extract/oleoresin,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False
dehydrated white onion powder,onion,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
pomegranate juice concentrate,pomegranate,NULL,concentrate,flavouring agent,NULL,juice,NULL,0,0.4,0.675,0,0.5,0.675,0.39,0.42,2,False,False
probiotics bacillus coagulans,synthetic,NULL,powder,?probiotic,NULL,NULL,NULL,0,0.42,0,0,0.42,0,0.126,0.126,1,False,True
flour treatment agent ins 223,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,preservative,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False
brihati solanum indicum plant,brihati,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
croscarmellose sodium ins 468,wood pulp | cotton,NULL,powder,bulking agent,NULL,modified starch powder,stabiliser,0,0.42,0.375,0,0.96,0.65,0.276,0.548,1,True,False
gudmar gymnema sylvestre leaf,gudmar,NULL,whole/fresh pieces,sweetener,NULL,cut/sliced pieces|powder,taste profile / spice,0,0.05,0.625,0,0.42,0.625,0.265,0.376,1,True,False
jiwanti leptadenia reticulata,jiwanti,NULL,NULL,base ingredient,NULL,whole/fresh pieces|cut/sliced pieces|powder,NULL,0,0,0.12,0,0.42,0.12,0.048,0.174,1,False,False
medium chain triglyceride oil,coconut | palm kernel,fractionation,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.76,0.7,0.22,0.82,0.7,0.22,0.526,0.544,2,False,False
mudgaparni phaseolus trilobus,mudgaparni,NULL,NULL,base ingredient,NULL,whole/fresh pieces|cut/sliced pieces|powder,NULL,0,0,0.12,0,0.42,0.12,0.048,0.174,1,False,False
polyvinylpyrrolidone ins 1202,synthetic,NULL,crystalline chemical,stabiliser,NULL,NULL,thickener|gelling agent,0,0.98,0.65,0,0.98,0.675,0.554,0.564,2,False,False
vidari pueraria tuberosa root,vidari,NULL,NULL,base ingredient,NULL,whole/fresh pieces|cut/sliced pieces|powder,NULL,0,0,0.12,0,0.42,0.12,0.048,0.174,1,False,False
tulsi ocimum tenuiflorum leaf,tulsi,NULL,whole/fresh pieces,flavouring agent,NULL,cut/sliced pieces,taste profile / spice,0,0.05,0.675,0,0.1,0.675,0.285,0.3,1,True,False
edible vegetable oil palmolein,palm,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False
edible vegetable oil palmolien,palm,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False
edible vanaspati oil vanaspati,palm | soybean | groundnut,hydrogenation|interesterification,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0.92,0.7,0.22,0.92,0.7,0.22,0.574,0.574,2,False,False
mozzarella cheese lodized salt,milk | mineral,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
soya sauce powder lodized salt,soybean | mineral,fermentation,powder,taste profile / spice,NULL,NULL,flavouring agent,0.56,0.42,0.18,0.56,0.42,0.675,0.366,0.564,2,False,False
riboflavin 5'-phosphate sodium,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
fortified wheat flour thiamine,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
mango flavouring confectionery,mango,NULL,NULL,flavouring agent,NULL,NULL,taste profile / spice,0,0,0.675,0,0,0.675,0.27,0.27,1,False,False
edible vegetable oil rice bran,rice,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
edible vegetable oil sunflower,sunflower,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
dehydrated kasuri methi leaves,kasuri methi,drying,NULL,taste profile / spice,NULL,NULL,flavouring agent,0.42,0,0.18,0.42,0,0.675,0.198,0.396,1,True,False
roasted spice powder fenugreek,fenugreek,roasting,powder,taste profile / spice,NULL,NULL,flavouring agent,0.58,0.42,0.18,0.58,0.42,0.675,0.372,0.57,2,False,False
roasted spice powder coriander,coriander,roasting,powder,taste profile / spice,NULL,NULL,flavouring agent,0.58,0.42,0.18,0.58,0.42,0.675,0.372,0.57,2,False,False
yogurt milk bacterial cultures,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
lactic cultures s thermophilus,milk,fermentation,NULL,NULL,NULL,NULL,NULL,0.56,0,0,0.56,0,0,0.168,0.168,1,False,False
roast and ground filter coffee,coffee,roasting,NULL,flavouring agent,NULL,powder,taste profile / spice,0.58,0,0.675,0.58,0.42,0.675,0.444,0.57,2,False,False
malted barley extracted solids,barley,NULL,concentrate,base ingredient,NULL,NULL,NULL,0,0.4,0.12,0,0.4,0.12,0.168,0.168,1,False,False
organic tulsi holy basil blend,tulsi,NULL,whole/fresh pieces,flavouring agent,NULL,cut/sliced pieces,taste profile / spice,0,0.05,0.675,0,0.1,0.675,0.285,0.3,1,True,False
marich kalimarich piper nigrum,black pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
blackcurrant juice concentrate,blackcurrant,NULL,juice|concentrate,flavouring agent,NULL,NULL,NULL,0,0.5,0.675,0,0.5,0.675,0.42,0.42,2,False,False
whole grains brown rice flakes,rice,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
butterfat from milk flavouring,milk,churning|clarification,fat fraction,lipid base,NULL,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False
sodium carboxymethyl cellulose,synthetic,NULL,crystalline chemical,thickener|stabiliser,NULL,modified starch powder,emulsifier,0,0.98,0.65,0,0.98,0.825,0.554,0.624,2,False,False
flour treatment agent ins 1101,aspergillus oryzae,NULL,NULL,flour treatment agent,NULL,powder,NULL,0,0,0.93,0,0.42,0.93,0.372,0.498,2,False,False
flour treatment agent ins 1100,barley,NULL,NULL,flour treatment agent,NULL,powder,NULL,0,0,0.93,0,0.42,0.93,0.372,0.498,2,False,False
flour treatment agent ins 1102,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,NULL,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False
flour treatment agent ins 1104,aspergillus niger,NULL,NULL,flour treatment agent,NULL,powder,NULL,0,0,0.93,0,0.42,0.93,0.372,0.498,2,False,False
flour treatment agent ins 1223,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,colour,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False
emulsifier sunflower lecithins,sunflower,solvent extraction,emulsifier powder,emulsifier,NULL,extract/oleoresin,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False
flour treatment agent ins 1223,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,colour,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False
medium chain triglycerides oil,coconut | palm kernel,NULL,oil,lipid base,refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
musta cyperus rotundus rhizome,cyperus rotundus,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent|thickener,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False
edible vegetable oil palm olien,palm,NULL,oil,lipid base,refining,NULL,NULL,0,0.7,0.22,0.75,0.7,0.22,0.298,0.523,1,True,False
edible vegetable oil palmnolein,palm,NULL,oil,lipid base,refining,NULL,NULL,0,0.7,0.22,0.75,0.7,0.22,0.298,0.523,1,True,False
starch sodium octenyl succinate,corn | tapioca,NULL,modified starch powder,emulsifier,NULL,starch flour,thickener|stabiliser,0,0.96,0.825,0,0.96,0.825,0.618,0.618,2,False,False
refined vegetable oil sunflower,sunflower,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False
emulsifier sodium polyphosphate,mineral,NULL,crystalline chemical,emulsifier,NULL,NULL,sequestrant,0,0.98,0.825,0,0.98,0.91,0.624,0.658,2,False,False
di-potassium hydrogen phosphate,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,sequestrant,0,0.98,0.86,0,0.98,0.91,0.638,0.658,2,False,False
raising agent sodium carbonates,mineral,NULL,crystalline chemical,raising agent,NULL,NULL,acidity regulator,0,0.98,0.475,0,0.98,0.86,0.484,0.638,2,False,False
yoghurt milk bacterial cultures,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
antifoaming agent dmps ins 900a,synthetic,NULL,NULL,antifoaming agent,NULL,NULL,NULL,0,0,0.9,0,0,0.9,0.36,0.36,2,False,False
anticaking agent silica ins 551,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
edible vegetable oil cottonseed,cottonseed,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
edible vegetable oil ground nut,groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
emulsifier soy lecithin ins 322,soybean,NULL,emulsifier powder,emulsifier,solvent extraction,extract/oleoresin,antioxidant,0,0.89,0.825,0.82,0.89,0.875,0.597,0.863,2,True,False
emulsifying agent soya lecithin,soybean,NULL,emulsifier powder,emulsifier,solvent extraction,extract/oleoresin,antioxidant,0,0.89,0.825,0.82,0.89,0.875,0.597,0.863,2,True,False
emulsifier ins 471 plant origin,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,interesterification|solvent extraction,extract/oleoresin,stabiliser,0,0.89,0.825,0.91,0.89,0.825,0.597,0.87,2,True,False
